"Date","Price","Open","High","Low","Vol.","Change %"
"22/12/2022","19.68","18.19","24.78","18.04","","-2.96%"
"21/12/2022","20.28","23.01","23.07","19.94","","-10.31%"
"20/12/2022","22.61","24.65","24.96","22.41","","-0.35%"
"19/12/2022","22.69","23.97","24.14","21.15","","10.09%"
"16/12/2022","20.61","22.95","23.01","19.91","","-6.40%"
"15/12/2022","22.02","20.74","23.66","20.48","","-13.10%"
"14/12/2022","25.34","36.55","40.25","24.70","","-23.42%"
"13/12/2022","33.09","30.19","36.76","29.71","","-18.68%"
"12/12/2022","40.69","36.41","40.74","36.32","","40.99%"
"09/12/2022","28.86","29.15","29.48","27.77","","3.29%"
"08/12/2022","27.94","28.81","29.50","27.32","","19.66%"
"07/12/2022","23.35","26.28","27.05","22.83","","2.10%"
"06/12/2022","22.87","20.18","24.52","20.09","","16.80%"
"05/12/2022","19.58","18.95","21.05","18.10","","32.21%"
"02/12/2022","14.81","17.78","17.78","14.53","","-13.39%"
"01/12/2022","17.10","19.16","19.61","17.10","","-31.44%"
"30/11/2022","24.94","30.02","32.96","24.31","","-2.77%"
"29/11/2022","25.65","24.96","26.55","24.74","","11.57%"
"28/11/2022","22.99","22.91","23.46","22.16","","35.24%"
"25/11/2022","17.00","18.70","18.85","16.95","","65.85%"
"23/11/2022","10.25","16.19","16.42","10.03","","-29.89%"
"22/11/2022","14.62","16.34","16.48","14.55","","-7.35%"
"21/11/2022","15.78","19.40","19.40","15.59","","-4.77%"
"18/11/2022","16.57","18.16","18.97","16.54","","-13.56%"
"17/11/2022","19.17","20.70","20.78","18.97","","-16.62%"
"16/11/2022","22.99","26.89","27.36","22.55","","-12.35%"
"15/11/2022","26.23","25.04","32.94","24.32","","9.34%"
"14/11/2022","23.99","26.02","26.04","23.04","","9.00%"
"11/11/2022","22.01","24.57","24.71","21.50","","-12.35%"
"10/11/2022","25.11","23.99","25.60","23.48","","-37.58%"
"09/11/2022","40.23","41.01","41.70","38.81","","8.64%"
"08/11/2022","37.03","34.50","38.36","33.56","","14.75%"
"07/11/2022","32.27","35.26","35.82","32.16","","15.46%"
"04/11/2022","27.95","28.61","29.08","27.24","","-3.19%"
"03/11/2022","28.87","31.03","31.17","28.57","","-9.75%"
"02/11/2022","31.99","40.93","43.55","31.99","","-9.04%"
"01/11/2022","35.17","35.19","36.57","34.10","","10.25%"
"31/10/2022","31.90","34.88","35.19","31.65","","15.96%"
"28/10/2022","27.51","29.58","29.77","27.49","","-7.37%"
"27/10/2022","29.70","30.43","30.93","29.35","","5.28%"
"26/10/2022","28.21","32.68","32.85","27.70","","-6.06%"
"25/10/2022","30.03","33.50","33.77","29.78","","-4.58%"
"24/10/2022","31.47","34.13","34.74","31.09","","14.56%"
"21/10/2022","27.47","28.23","28.50","26.89","","0.70%"
"20/10/2022","27.28","29.00","29.16","27.28","","-5.83%"
"19/10/2022","28.97","34.51","34.87","28.94","","-4.95%"
"18/10/2022","30.48","33.38","34.92","30.42","","-5.02%"
"17/10/2022","32.09","33.60","34.33","30.97","","9.04%"
"14/10/2022","29.43","31.62","33.26","29.13","","-7.22%"
"13/10/2022","31.72","32.98","34.70","30.63","","-33.05%"
"12/10/2022","47.38","47.74","48.92","46.22","","12.51%"
"11/10/2022","42.11","40.40","43.32","39.70","","17.04%"
"10/10/2022","35.98","37.75","38.46","35.54","","16.48%"
"07/10/2022","30.89","31.07","32.51","30.86","","-2.52%"
"06/10/2022","31.69","29.91","32.24","29.69","","3.56%"
"05/10/2022","30.60","34.50","34.97","30.24","","-3.35%"
"04/10/2022","31.66","31.64","32.44","30.44","","1.12%"
"03/10/2022","31.31","34.55","35.13","30.67","","2.35%"
"30/09/2022","30.59","32.35","32.92","28.50","","-6.34%"
"29/09/2022","32.66","33.22","35.44","32.38","","-8.41%"
"28/09/2022","35.66","42.28","43.96","34.84","","-2.46%"
"27/09/2022","36.56","37.80","42.28","36.14","","-2.56%"
"26/09/2022","37.52","38.54","38.81","34.76","","23.14%"
"23/09/2022","30.47","30.16","34.27","29.35","","9.68%"
"22/09/2022","27.78","29.86","30.56","27.02","","-23.17%"
"21/09/2022","36.16","42.25","46.00","35.52","","-4.03%"
"20/09/2022","37.68","36.07","39.41","35.82","","17.86%"
"19/09/2022","31.97","34.88","34.88","31.51","","16.47%"
"16/09/2022","27.45","29.84","31.16","27.21","","0.48%"
"15/09/2022","27.32","28.15","28.56","26.57","","1.60%"
"14/09/2022","26.89","31.78","33.66","26.87","","-14.23%"
"13/09/2022","31.35","26.40","35.74","25.76","","15.00%"
"12/09/2022","27.26","25.09","27.38","25.06","","30.56%"
"09/09/2022","20.88","21.93","22.70","20.69","","-6.91%"
"08/09/2022","22.43","26.20","29.10","22.31","","-12.11%"
"07/09/2022","25.52","30.18","30.64","25.35","","-8.53%"
"06/09/2022","27.90","28.43","32.78","27.38","","27.92%"
"02/09/2022","21.81","20.95","23.73","19.34","","-6.95%"
"01/09/2022","23.44","24.71","25.62","22.80","","-14.98%"
"31/08/2022","27.57","28.92","29.49","26.62","","3.88%"
"30/08/2022","26.54","27.41","30.43","26.51","","0.53%"
"29/08/2022","26.40","29.68","29.68","25.81","","10.00%"
